CÓDIGO;UOS;FAIXA ÁREA(m²);CFA B;CFA M;TX OCUP(%);TX PERM(%);ALT MAX;AFR;AFU;AF LAT;AF OBS;MARQUISE;GALERIA;COTA SOLEIRA;SUBSOLO
617;RO 2 - Mestre D'armas;a≤200;2,00;2,00;90;10;10,50;-;2,00;-;-;proibida;-;ponto médio da testada frontal;proibido
618;RO 2 - Mestre D'armas;200<a≤500;2,00;2,00;75;15;10,50;-;2,00;-;-;proibida;-;ponto médio da testada frontal;proibido
619;RO 2 - Mestre D'armas;500<a≤2000;2,00;2,00;65;25;10,50;-;3,00;-;-;proibida;-;ponto médio da testada frontal;proibido
620;RO 2 - SR Leste Q 1 a 6;100˂a≤250;2,40;2,40;100;-;10,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
621;CSIIR 1 NO;a≤300;1,40;1,80;100;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
622;CSIIR 1 NO - Arapoanga(3);a≤1000;2,00;2,00;90;10;12,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
623;CSIIR 1 NO - Mestre D'armas;a≤650;2,00;2,00;90;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;proibido
624;CSIIR 1 NO - Mestre D'armas;650<a≤7000;2,00;3,00;70;20;19,00;3,00;3,00;1,50;unilateral;-;-;ponto médio da testada frontal;permitido-tipo 1
625;CSIIR 1 NO - Mestre D'armas(4);10000<a≤40000;1,85;3,00;60;30;19,00;3,00;3,00;1,50;unilateral;-;-;ponto médio da edificação;proibido
626;CSIIR 1 NO - Mestre D'armas - Tipo A(5);600<a≤1500;2,00;2,00;65;25;12,00;-;3,00;-;-;-;-;ponto médio da testada frontal;proibido
627;CSIIR 1 NO - Vila Vicentina;100<a≤700;1,20;1,40;100;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
628;CSIIR 1 NO - SR Leste Q 17;150<a≤1100;2,00;3,00;80;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
629;CSIIR 1 NO - Setor Tradicional;a≤300;1,20;2,10;90;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
630;CSIIR 1 NO - Setor Tradicional;300<a≤1000;1,20;2,10;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
631;CSIIR 1 NO - Setor Tradicional;1000<a≤6000;1,20;2,10;70;20;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
632;CSIIR 1 NO - Setor Tradicional Pç Salviano Monteiro(6);350<a≤2500;0,80;0,80;80;10;5,00;-;-;-;-;-;-;ponto médio da testada frontal;proibido
633;CSIIR 1;a≤150;2,00;2,00;100;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;proibido
634;CSIIR 1;150<a≤250;1,80;2,40;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
635;CSIIR 2 NO;100<a≤300;1,40;2,10;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
636;CSIIR 2 NO;450<a≤550;1,40;2,10;80;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
637;CSIIR 2 NO;900<a≤1100;1,20;1,20;80;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
638;CSIIR 2 NO - Arapoanga(3);a≤1500;2,00;2,00;90;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
639;CSIIR 2 NO - Mestre D'armas;a≤1000;2,00;2,00;75;15;12,00;-;3,00;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
640;CSIIR 2 NO - Mestre D'armas;1000<a≤35000;1,40;4,00;70;25;19,00;3,00;3,00;1,50;unilateral;-;-;ponto médio da edificação;permitido-tipo 1
641;CSIIR 2 NO - Mestre D'armas - Tipo A(7);a≤1000;2,00;3,00;75;15;15,50;-;3,00;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
642;CSIIR 2 NO - Vila Vicentina;100<a≤450;1,40;3,00;90;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
643;CSIIR 2 NO - Setor Tradicional;150<a≤1100;1,40;3,60;90;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
644;CSIIR 2(8);a≤100;2,00;2,00;100;-;8,50;-;-;-;-;obrigatória;-;ponto médio da testada frontal;permitido-tipo 1
645;CSIIR 2;500<a≤600;3,00;5,00;100;-;19,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
646;CSIIR 2;600<a≤2700;2,80;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
647;CSIIR 2 - Setor Tradicional;280<a≤1200;1,40;3,60;90;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
648;CSII 1;400<a≤600;1,30;1,40;70;20;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
649;CSII 1;700<a≤1900;1,20;1,20;60;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
650;CSII 1;5000<a≤6000;1,00;3,00;80;10;15,50;-;3,00;-;-;-;-;ponto médio da edificação;permitido-tipo 1
651;CSII 1 - SR Leste Centro de Quadra 3/4 e 5/6;40<a≤600;1,89;2,00;100;-;8,50;-;-;-;-;-;-;ponto médio da testada frontal;proibido
652;CSII 1 - SR Leste Centro de Quadra 1/2 e 5/6;1000<a≤1800;1,40;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
653;CSII 2;a≤100;1,00;1,00;100;-;5,00;-;-;-;-;-;-;ponto médio da testada frontal;proibido
654;CSII 2;200<a≤250;1,50;2,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
655;CSII 2;700<a≤800;1,40;4,00;100;-;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
656;CSII 2;800<a≤900;1,20;1,20;60;20;8,50;-;-;5,00;lat dir;-;-;ponto médio da testada frontal;permitido-tipo 2
657;CSII 2;900<a≤1600;3,50;5,00;100;-;19,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
658;CSII 2;7500<a≤8000;3,00;3,00;70;20;19,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
659;CSII 2 - Setor de Áreas Especiais Norte;5000<a≤18000;1,50;2,40;60;30;15,50;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 2
660;CSII 3;1000<a≤45000;1,00;3,00;80;10;15,50;-;3,00;-;-;-;-;ponto médio da edificação;permitido-tipo 1
661;CSII 3;55000<a≤57000;0,60;1,00;60;30;15,50;-;-;-;-;-;-;ponto médio da edificação;permitido-tipo 1
662;CSIIndR;a≤300;2,00;3,00;100;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
663;CSIIndR - Mestre D`armas;a≤3000;1,40;2,00;80;10;12,00;-;-;-;-;-;-;ponto médio da testada frontal;proibido
664;CSIInd 1;400<a≤1100;1,50;2,10;70;-;12,00;-;-;-;-;-;-;ponto médio da testada frontal;permitido-tipo 1
665;Inst;200<a≤300;2,00;3,00;100;-;12,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
666;Inst;400<a≤900;1,20;1,40;70;15;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
667;Inst;1400<a≤8500;1,00;3,00;75;15;15,50;-;-;-;-;proibida;-;ponto médio da edificação;permitido-tipo 2
668;Inst - Setor Tradicional;a≤4200;0,80;0,80;80;10;5,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 2
669;Inst - Vila Vicentina Q 16A;550<a≤800;1,40;3,00;100;-;15,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
670;Inst - Tipo A(9);400<a≤600;1,40;2,10;100;-;12,00;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
671;Inst - Tipo B(10);1700<a≤3500;1,40;2,10;100;-;12,00;-;-;-;-;proibida;-;cota altimétrica média do lote;permitido-tipo 1
672;Inst  - Mestre D'armas;10000<a≤12000;2,30;3,00;70;20;15,50;2,00;2,00;1,50;unilateral;-;-;ponto médio da edificação;proibido
673;PAC 1(14);a<1000;0,25;0,25;25;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
674;PAC 2(12);1000≤a<4000;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
675;PAC 2 - Tipo A(12);1000≤a<2500;0,25;0,50;50;-;8,50;-;-;-;-;proibida;-;ponto médio da testada frontal;permitido-tipo 1
